198msec    235   CO2-INFO:Initializing display...
197msec    1945  CO2-DEBUG:Main start
197msec    2161  CO2-DEBUG:Main start
196msec    1819  CO2-DEBUG:Main start
196msec    1933  CO2-DEBUG:Main start
195msec    1224  CO2-INFO:Initializing device...
194msec    1182  CO2-INFO:Initializing device...
194msec    1194  CO2-INFO:Initializing device...
193msec    1152  CO2-INFO:Initializing device...
192msec    1807  CO2-DEBUG:Main start
189msec    2143  CO2-DEBUG:Main start
188msec    1140  CO2-INFO:Initializing device...
187msec    1098  CO2-INFO:Initializing device...
187msec    1110  CO2-INFO:Initializing device...
186msec    151   CO2-INFO:Initializing display...
185msec    1068  CO2-INFO:Initializing device...
183msec    1471  CO2-DEBUG:Main start
182msec    1345  CO2-DEBUG:Main start
182msec    1693  CO2-DEBUG:Main start
182msec    2029  CO2-DEBUG:Main start
181msec    2017  CO2-DEBUG:Main start
180msec    1026  CO2-INFO:Initializing device...
180msec    1056  CO2-INFO:Initializing device...
180msec    1567  CO2-DEBUG:Main start
180msec    1681  CO2-DEBUG:Main start
179msec    1014  CO2-INFO:Initializing device...
178msec    109   CO2-INFO:Initializing display...
178msec    984   CO2-INFO:Initializing device...
177msec    1441  CO2-DEBUG:Main start
177msec    1555  CO2-DEBUG:Main start
176msec    2113  CO2-DEBUG:Main start
175msec    2101  CO2-DEBUG:Main start
173msec    888   CO2-INFO:Initializing device...
173msec    1975  CO2-DEBUG:Main start
172msec    846   CO2-INFO:Initializing device...
172msec    972   CO2-INFO:Initializing device...
171msec    900   CO2-INFO:Initializing device...
171msec    930   CO2-INFO:Initializing device...
171msec    942   CO2-INFO:Initializing device...
170msec    1219  CO2-DEBUG:Main start
170msec    1903  CO2-DEBUG:Main start
169msec    1105  CO2-DEBUG:Main start
168msec    979   CO2-DEBUG:Main start
168msec    1093  CO2-DEBUG:Main start
167msec    762   CO2-INFO:Initializing device...
167msec    804   CO2-INFO:Initializing device...
167msec    1891  CO2-DEBUG:Main start
166msec    1315  CO2-DEBUG:Main start
166msec    1777  CO2-DEBUG:Main start
165msec    1765  CO2-DEBUG:Main start
165msec    2079  CO2-INFO:Initializing home assistant...
164msec    858   CO2-INFO:Initializing device...
164msec    1651  CO2-DEBUG:Main start
164msec    1987  CO2-DEBUG:Main start
163msec    816   CO2-INFO:Initializing device...
163msec    1189  CO2-DEBUG:Main start
163msec    2121  CO2-INFO:Initializing home assistant...
162msec    1639  CO2-DEBUG:Main start
161msec    1525  CO2-DEBUG:Main start
161msec    1861  CO2-DEBUG:Main start
160msec    720   CO2-INFO:Initializing device...
160msec    1849  CO2-DEBUG:Main start
160msec    2037  CO2-INFO:Initializing home assistant...
159msec    1735  CO2-DEBUG:Main start
158msec    648   CO2-INFO:Initializing device...
158msec    690   CO2-INFO:Initializing device...
157msec    1387  CO2-DEBUG:Main start
156msec    732   CO2-INFO:Initializing device...
156msec    774   CO2-INFO:Initializing device...
156msec    967   CO2-DEBUG:Main start
156msec    1429  CO2-DEBUG:Main start
156msec    1723  CO2-DEBUG:Main start
155msec    853   CO2-DEBUG:Main start
155msec    1609  CO2-DEBUG:Main start
154msec    727   CO2-DEBUG:Main start
154msec    841   CO2-DEBUG:Main start
154msec    1303  CO2-DEBUG:Main start
152msec    1177  CO2-DEBUG:Main start
151msec    606   CO2-INFO:Initializing device...
150msec    1399  CO2-DEBUG:Main start
150msec    1513  CO2-DEBUG:Main start
150msec    1995  CO2-INFO:Initializing home assistant...
148msec    678   CO2-INFO:Initializing device...
147msec    1273  CO2-DEBUG:Main start
146msec    1261  CO2-DEBUG:Main start
144msec    1483  CO2-DEBUG:Main start
142msec    601   CO2-DEBUG:Main start
142msec    715   CO2-DEBUG:Main start
142msec    1063  CO2-DEBUG:Main start
141msec    475   CO2-DEBUG:Main start
141msec    589   CO2-DEBUG:Main start
141msec    636   CO2-INFO:Initializing device...
141msec    1357  CO2-DEBUG:Main start
141msec    1953  CO2-INFO:Initializing home assistant...
140msec    564   CO2-INFO:Initializing device...
140msec    594   CO2-INFO:Initializing device...
140msec    1911  CO2-INFO:Initializing home assistant...
139msec    463   CO2-DEBUG:Main start
139msec    937   CO2-DEBUG:Main start
139msec    1051  CO2-DEBUG:Main start
138msec    349   CO2-DEBUG:Main start
138msec    811   CO2-DEBUG:Main start
138msec    925   CO2-DEBUG:Main start
137msec    1869  CO2-INFO:Initializing home assistant...
136msec    799   CO2-DEBUG:Main start
136msec    1147  CO2-DEBUG:Main start
135msec    1827  CO2-INFO:Initializing home assistant...
133msec    522   CO2-INFO:Initializing device...
133msec    552   CO2-INFO:Initializing device...
133msec    1021  CO2-DEBUG:Main start
133msec    1135  CO2-DEBUG:Main start
132msec    480   CO2-INFO:Initializing device...
132msec    510   CO2-INFO:Initializing device...
132msec    895   CO2-DEBUG:Main start
132msec    1009  CO2-DEBUG:Main start
132msec    1785  CO2-INFO:Initializing home assistant...
131msec    1743  CO2-INFO:Initializing home assistant...
130msec    1597  CO2-DEBUG:Main start
127msec    337   CO2-DEBUG:Main start
127msec    1659  CO2-INFO:Initializing home assistant...
127msec    1701  CO2-INFO:Initializing home assistant...
126msec    221   CO2-DEBUG:Main start
126msec    468   CO2-INFO:Initializing device...
125msec    209   CO2-DEBUG:Main start
125msec    342   CO2-INFO:Initializing device...
125msec    426   CO2-INFO:Initializing device...
125msec    438   CO2-INFO:Initializing device...
125msec    559   CO2-DEBUG:Main start
125msec    673   CO2-DEBUG:Main start
125msec    685   CO2-DEBUG:Main start
125msec    1231  CO2-DEBUG:Main start
124msec    95    CO2-DEBUG:Main start
124msec    396   CO2-INFO:Initializing device...
123msec    83    CO2-DEBUG:Main start
123msec    1575  CO2-INFO:Initializing home assistant...
123msec    1617  CO2-INFO:Initializing home assistant...
122msec    433   CO2-DEBUG:Main start
122msec    547   CO2-DEBUG:Main start
120msec    258   CO2-INFO:Initializing device...
120msec    300   CO2-INFO:Initializing device...
120msec    883   CO2-DEBUG:Main start
119msec    769   CO2-DEBUG:Main start
119msec    1533  CO2-INFO:Initializing home assistant...
118msec    354   CO2-INFO:Initializing device...
118msec    384   CO2-INFO:Initializing device...
118msec    643   CO2-DEBUG:Main start
118msec    757   CO2-DEBUG:Main start
118msec    1491  CO2-INFO:Initializing home assistant...
117msec    270   CO2-INFO:Initializing device...
117msec    312   CO2-INFO:Initializing device...
117msec    631   CO2-DEBUG:Main start
116msec    226   CO2-INFO:Initializing device...
116msec    517   CO2-DEBUG:Main start
114msec    1407  CO2-INFO:Initializing home assistant...
114msec    1449  CO2-INFO:Initializing home assistant...
112msec    184   CO2-INFO:Initializing device...
111msec    307   CO2-DEBUG:Main start
111msec    421   CO2-DEBUG:Main start
110msec    1323  CO2-INFO:Initializing home assistant...
110msec    1365  CO2-INFO:Initializing home assistant...
108msec    179   CO2-DEBUG:Main start
108msec    295   CO2-DEBUG:Main start
107msec    48    CO2-INFO:Initializing device...
107msec    167   CO2-DEBUG:Main start
106msec    1281  CO2-INFO:Initializing home assistant...
105msec    391   CO2-DEBUG:Main start
105msec    505   CO2-DEBUG:Main start
105msec    986   CO2-INFO:Initializing scd41...
104msec    43    CO2-DEBUG:Main start
104msec    1239  CO2-INFO:Initializing home assistant...
103msec    214   CO2-INFO:Initializing device...
103msec    379   CO2-DEBUG:Main start
102msec    172   CO2-INFO:Initializing device...
102msec    265   CO2-DEBUG:Main start
101msec    142   CO2-INFO:Initializing device...
101msec    1197  CO2-INFO:Initializing home assistant...
100msec    1155  CO2-INFO:Initializing home assistant...
97msec     1113  CO2-INFO:Initializing home assistant...
96msec     1071  CO2-INFO:Initializing home assistant...
95msec     100   CO2-INFO:Initializing device...
95msec     130   CO2-INFO:Initializing device...
95msec     2108  CO2-INFO:Initializing scd41...
95msec     2120  CO2-INFO:Initializing scd41...
95msec     2151  CO2-INFO:Initializing scd41...
94msec     88    CO2-INFO:Initializing device...
94msec     2078  CO2-INFO:Initializing scd41...
93msec     1029  CO2-INFO:Initializing home assistant...
93msec     2066  CO2-INFO:Initializing scd41...
92msec     31    CO2-DEBUG:Main start
92msec     253   CO2-DEBUG:Main start
92msec     987   CO2-INFO:Initializing home assistant...
92msec     1994  CO2-INFO:Initializing scd41...
92msec     2024  CO2-INFO:Initializing scd41...
92msec     2036  CO2-INFO:Initializing scd41...
91msec     137   CO2-DEBUG:Main start
90msec     1982  CO2-INFO:Initializing scd41...
89msec     14    CO2-DEBUG:Main start
89msec     651   CO2-INFO:Initializing home assistant...
89msec     1910  CO2-INFO:Initializing scd41...
89msec     1940  CO2-INFO:Initializing scd41...
89msec     1952  CO2-INFO:Initializing scd41...
87msec     19    CO2-INFO:Initializing device...
87msec     36    CO2-INFO:Initializing device...
87msec     903   CO2-INFO:Initializing home assistant...
87msec     945   CO2-INFO:Initializing home assistant...
87msec     1898  CO2-INFO:Initializing scd41...
86msec     1826  CO2-INFO:Initializing scd41...
86msec     1856  CO2-INFO:Initializing scd41...
86msec     1868  CO2-INFO:Initializing scd41...
84msec     609   CO2-INFO:Initializing home assistant...
84msec     1784  CO2-INFO:Initializing scd41...
83msec     5     CO2-INFO:First boot: False
83msec     567   CO2-INFO:Initializing home assistant...
83msec     819   CO2-INFO:Initializing home assistant...
83msec     861   CO2-INFO:Initializing home assistant...
83msec     1742  CO2-INFO:Initializing scd41...
83msec     1772  CO2-INFO:Initializing scd41...
83msec     1814  CO2-INFO:Initializing scd41...
81msec     6     CO2-INFO:Initializing device...
81msec     1700  CO2-INFO:Initializing scd41...
81msec     1730  CO2-INFO:Initializing scd41...
80msec     1658  CO2-INFO:Initializing scd41...
80msec     1688  CO2-INFO:Initializing scd41...
79msec     777   CO2-INFO:Initializing home assistant...
78msec     735   CO2-INFO:Initializing home assistant...
78msec     1604  CO2-INFO:Initializing scd41...
78msec     1616  CO2-INFO:Initializing scd41...
78msec     1646  CO2-INFO:Initializing scd41...
77msec     1574  CO2-INFO:Initializing scd41...
75msec     125   CO2-DEBUG:Main start
75msec     693   CO2-INFO:Initializing home assistant...
75msec     1532  CO2-INFO:Initializing scd41...
75msec     1562  CO2-INFO:Initializing scd41...
74msec     1490  CO2-INFO:Initializing scd41...
74msec     1520  CO2-INFO:Initializing scd41...
72msec     1436  CO2-INFO:Initializing scd41...
72msec     1448  CO2-INFO:Initializing scd41...
72msec     1478  CO2-INFO:Initializing scd41...
71msec     1406  CO2-INFO:Initializing scd41...
69msec     1352  CO2-INFO:Initializing scd41...
69msec     1364  CO2-INFO:Initializing scd41...
69msec     1394  CO2-INFO:Initializing scd41...
68msec     1322  CO2-INFO:Initializing scd41...
66msec     1108  CO2-INFO:Wake reason: 4
66msec     1238  CO2-INFO:Initializing scd41...
66msec     1268  CO2-INFO:Initializing scd41...
66msec     1280  CO2-INFO:Initializing scd41...
66msec     1310  CO2-INFO:Initializing scd41...
65msec     483   CO2-INFO:Initializing home assistant...
65msec     525   CO2-INFO:Initializing home assistant...
65msec     1351  CO2-INFO:Initial device state: 1
64msec     1196  CO2-INFO:Initializing scd41...
63msec     1154  CO2-INFO:Initializing scd41...
63msec     1184  CO2-INFO:Initializing scd41...
63msec     1226  CO2-INFO:Initializing scd41...
62msec     862   CO2-DEBUG:Creating home assistant device...
61msec     441   CO2-INFO:Initializing home assistant...
61msec     1142  CO2-INFO:Initializing scd41...
61msec     1473  CO2-INFO:Reset cause: 4
60msec     399   CO2-INFO:Initializing home assistant...
60msec     1070  CO2-INFO:Initializing scd41...
60msec     1100  CO2-INFO:Initializing scd41...
60msec     1112  CO2-INFO:Initializing scd41...
59msec     229   CO2-INFO:Initializing home assistant...
58msec     1058  CO2-INFO:Initializing scd41...
57msec     357   CO2-INFO:Initializing home assistant...
57msec     1016  CO2-INFO:Initializing scd41...
57msec     1028  CO2-INFO:Initializing scd41...
56msec     315   CO2-INFO:Initializing home assistant...
56msec     1715  epd29-DEBUG:PON: False
55msec     145   CO2-INFO:Initializing home assistant...
55msec     187   CO2-INFO:Initializing home assistant...
